"SKU","Balance","InOrder"
"17002","5","0"

"17003","3","0"

"1702","1","0"

"17020","5","0"

"17022","2","0"

"17023","13","3"

"17024","4","0"

"17025","4","1"

"17026","7","0"
"17027","4","0"

"17028","6","1"

"17029","2","1"

"17048","4","0"

"17049","196","5"

"17067","2","0"

"17069","9","1"

"17103","1","0"

"17135","36","2"

"17137","11","4"

"17151","5","0"

"17154","2","0"

"17196","22","4"

"17199","3","0"

"17201","2","1"

"17202","4","1"

"17215","18","2"

"17217","45","5"

"17219","7","4"

"17220","30","6"

"17234","15","1"

"17235","28","1"

"17253","3","1"

"17282","6","0"

"17285","1","1"

"17286","8","0"

"17288","3","0"

"17289","5","0"

"17292","12","0"

"17294","5","0"

"17298","19","1"

"17300","2","0"

"17301","6","3"

"17302","4","0"

"17303","30","8"

"17304","4","0"

"17305","1","2"

"17306","72","28"

"17318","33","0"

"17319","13","2"

"17338","32","4"

"17342","3","0"

"17348","13","2"

"17349","3","0"

"17367","13","0"

"17369","18","0"

"17377","11","0"

"17378","16","0"

"17379","12","1"

"17380","21","5"

"17381","35","5"

"17382","9","0"

"17410","1","0"

"17438","2","0"

"17463","6","2"
"17492","7","0"

"17493","4","0"

"17494","6","0"

"17495","1","0"

"17512","2","0"

"176","5","0"

"17629","6","0"

"17636","2","0"

"17637","2","0"

"17638","3","0"

"17650","3","0"

"17652","1","0"

"17656","2","0"

"17658","9","5"

"17659","2","1"

"17660","492","124"

"17661","389","16"

"17684","28","16"

"97745","30","0"

"97748","18","0"

"97770","129","0"

"97771","16","1"

"97772","28","2"

"97773","39","1"

"97776","49","8"

"97827","169","0"

"97830","14","0"

"97831","2","0"

"97832","1","0"

"97834","8","0"

"97835","14","0"

"97846","17","3"

"97852","2","0"

"97869","21","2"

"97870","7","1"

"97872","19","1"

"97876","194","18"

"97877","67","4"

"97878","115","11"

"97879","157","12"

"97880","108","6"

"97881","132","20"

"97882","67","7"

"97883","15","0"

"97894","19","1"

"97897","10","0"

"97898","19","0"

"97900","10","0"

"97904","8","0"

"97905","16","0"

"97908","11","0"

"97921","65","3"

"97922","7","0"

"97923","2","0"

"97926","3","0"
"97927","5","3"

"97928","1","0"

"97934","8","0"

"97945","5","0"

"97981","5","0"

"97982","16","0"

"97987","9","0"

"97992","8","0"

"98001","31","0"

"98002","9","0"

"98003","15","0"

"98006","15","0"

"98018","30","6"

"98029","62","0"

"98042","24","0"

"98043","12","0"

"98049","7","0"

"98058","26","8"

"98059","17","0"

"98060","18","0"

"98061","37","0"

"98062","33","0"

"98063","10","0"

"98064","4","0"

"98065","11","0"

"98066","7","0"

"98070","20","0"

"98075","1","0"

"98076","17","0"

"98079","1","0"

"98088","35","1"

"98089","23","1"

"98091","21","25"

"98121","29","19"

"98129","35","22"

"98137","14","1"

"98146","33","14"

"98147","6","7"

"98148","94","21"

"98149","56","0"

"98159","15","0"

"98168","3","1"

"98169","85","58"

"98170","39","21"

"98173","65","46"

"98174","15","1"

"98175","9","3"

"98176","75","24"

"98177","25","4"

"98180","58","3"

"98184","2341","13"

"98185","14","6"

"98188","4","0"

"98189","5","0"

"98191","8","0"
"98192","14","0"

"98193","45","1"

"98194","3","0"

"98195","4","0"

"98196","5","0"

"98198","4","0"

"98199","5","0"

"98200","2","0"

"98220","262","5"

"98221","311","6"

"98230","18","0"

"98240","21","0"

"98241","12","0"

"98243","3","0"

"98244","3","0"

"98245","19","0"

"98246","5","0"

"98247","6","2"

"98250","1","0"

"98251","6","0"

"98254","5","0"

"98255","19","0"

"98256","14","0"

"98257","14","0"

"98258","14","0"

"98259","10","0"

"98260","20","0"

"98261","8","0"

"98262","12","0"

"98263","3","0"

"98264","26","0"

"98265","7","0"

"98266","15","0"

"98267","7","0"

"98268","15","0"

"98270","23","0"

"98271","13","0"

"98272","13","0"

"98274","11","0"

"98275","13","0"

"98276","25","9"

"98280","4","0"

"98281","8","0"

"98282","15","0"

"98283","1","0"

"98284","50","1"

"98285","37","0"

"98286","13","0"

"98287","33","0"

"98288","21","0"

"98289","1","0"

"98304","170","8"

"98312","30","2"

"98313","50","1"

"98314","8","2"
"98315","13","0"

"98319","21","0"

"98320","53","7"

"98321","63","5"

"98323","67","4"

"98324","16","1"

"98325","57","5"

"98326","63","2"

"98336","5","0"

"98381","37","2"

"98392","10","0"

"98393","10","1"

"98405","3","0"

"98410","33","0"

"98412","7","0"

"98416","29","0"

"98418","19","2"

"98419","15","0"

"98420","5","0"

"98421","4","1"

